,MS_SubClassOne_Story_1945_and_Older,MS_SubClassOne_Story_with_Finished_Attic_All_Ages,MS_SubClassOne_and_Half_Story_Unfinished_All_Ages,MS_SubClassOne_and_Half_Story_Finished_All_Ages,MS_SubClassTwo_Story_1946_and_Newer,MS_SubClassTwo_Story_1945_and_Older,MS_SubClassTwo_and_Half_Story_All_Ages,MS_SubClassSplit_or_Multilevel,MS_SubClassSplit_Foyer,MS_SubClassDuplex_All_Styles_and_Ages,MS_SubClassOne_Story_PUD_1946_and_Newer,MS_SubClassOne_and_Half_Story_PUD_All_Ages,MS_SubClassTwo_Story_PUD_1946_and_Newer,MS_SubClassPUD_Multilevel_Split_Level_Foyer,MS_SubClassTwo_Family_conversion_All_Styles_and_Ages,MS_ZoningResidential_High_Density,MS_ZoningResidential_Low_Density,MS_ZoningResidential_Medium_Density,MS_ZoningA_agr,MS_ZoningC_all,MS_ZoningI_all,Lot_Frontage,Lot_Area,StreetPave,AlleyNo_Alley_Access,AlleyPaved,Lot_ShapeSlightly_Irregular,Lot_ShapeModerately_Irregular,Lot_ShapeIrregular,Land_ContourHLS,Land_ContourLow,Land_ContourLvl,UtilitiesNoSeWa,UtilitiesNoSewr,Lot_ConfigCulDSac,Lot_ConfigFR2,Lot_ConfigFR3,Lot_ConfigInside,Land_SlopeMod,Land_SlopeSev,NeighborhoodCollege_Creek,NeighborhoodOld_Town,NeighborhoodEdwards,NeighborhoodSomerset,NeighborhoodNorthridge_Heights,NeighborhoodGilbert,NeighborhoodSawyer,NeighborhoodNorthwest_Ames,NeighborhoodSawyer_West,NeighborhoodMitchell,NeighborhoodBrookside,NeighborhoodCrawford,NeighborhoodIowa_DOT_and_Rail_Road,NeighborhoodTimberland,NeighborhoodNorthridge,NeighborhoodStone_Brook,NeighborhoodSouth_and_West_of_Iowa_State_University,NeighborhoodClear_Creek,NeighborhoodMeadow_Village,NeighborhoodBriardale,NeighborhoodBloomington_Heights,NeighborhoodVeenker,NeighborhoodNorthpark_Villa,NeighborhoodBlueste,NeighborhoodGreens,NeighborhoodGreen_Hills,NeighborhoodLandmark,NeighborhoodHayden_Lake,Condition_1Feedr,Condition_1Norm,Condition_1PosA,Condition_1PosN,Condition_1RRAe,Condition_1RRAn,Condition_1RRNe,Condition_1RRNn,Condition_2Feedr,Condition_2Norm,Condition_2PosA,Condition_2PosN,Condition_2RRAe,Condition_2RRAn,Condition_2RRNn,Bldg_TypeTwoFmCon,Bldg_TypeDuplex,Bldg_TypeTwnhs,Bldg_TypeTwnhsE,House_StyleOne_and_Half_Unf,House_StyleOne_Story,House_StyleSFoyer,House_StyleSLvl,House_StyleTwo_and_Half_Fin,House_StyleTwo_and_Half_Unf,House_StyleTwo_Story,Overall_QualPoor,Overall_QualFair,Overall_QualBelow_Average,Overall_QualAverage,Overall_QualAbove_Average,Overall_QualGood,Overall_QualVery_Good,Overall_QualExcellent,Overall_QualVery_Excellent,Overall_CondPoor,Overall_CondFair,Overall_CondBelow_Average,Overall_CondAverage,Overall_CondAbove_Average,Overall_CondGood,Overall_CondVery_Good,Overall_CondExcellent,Overall_CondVery_Excellent,Year_Built,Year_Remod_Add,Roof_StyleGable,Roof_StyleGambrel,Roof_StyleHip,Roof_StyleMansard,Roof_StyleShed,Roof_MatlCompShg,Roof_MatlMembran,Roof_MatlMetal,Roof_MatlRoll,Roof_MatlTar&Grv,Roof_MatlWdShake,Roof_MatlWdShngl,Exterior_1stAsphShn,Exterior_1stBrkComm,Exterior_1stBrkFace,Exterior_1stCBlock,Exterior_1stCemntBd,Exterior_1stHdBoard,Exterior_1stImStucc,Exterior_1stMetalSd,Exterior_1stPlywood,Exterior_1stPreCast,Exterior_1stStone,Exterior_1stStucco,Exterior_1stVinylSd,Exterior_1stWd Sdng,Exterior_1stWdShing,Exterior_2ndAsphShn,Exterior_2ndBrk Cmn,Exterior_2ndBrkFace,Exterior_2ndCBlock,Exterior_2ndCmentBd,Exterior_2ndHdBoard,Exterior_2ndImStucc,Exterior_2ndMetalSd,Exterior_2ndOther,Exterior_2ndPlywood,Exterior_2ndPreCast,Exterior_2ndStone,Exterior_2ndStucco,Exterior_2ndVinylSd,Exterior_2ndWd Sdng,Exterior_2ndWd Shng,Mas_Vnr_TypeBrkFace,Mas_Vnr_TypeCBlock,Mas_Vnr_TypeNone,Mas_Vnr_TypeStone,Mas_Vnr_Area,Exter_QualFair,Exter_QualGood,Exter_QualTypical,Exter_CondFair,Exter_CondGood,Exter_CondPoor,Exter_CondTypical,FoundationCBlock,FoundationPConc,FoundationSlab,FoundationStone,FoundationWood,Bsmt_QualFair,Bsmt_QualGood,Bsmt_QualNo_Basement,Bsmt_QualPoor,Bsmt_QualTypical,Bsmt_CondFair,Bsmt_CondGood,Bsmt_CondNo_Basement,Bsmt_CondPoor,Bsmt_CondTypical,Bsmt_ExposureGd,Bsmt_ExposureMn,Bsmt_ExposureNo,Bsmt_ExposureNo_Basement,BsmtFin_Type_1BLQ,BsmtFin_Type_1GLQ,BsmtFin_Type_1LwQ,BsmtFin_Type_1No_Basement,BsmtFin_Type_1Rec,BsmtFin_Type_1Unf,BsmtFin_SF_1,BsmtFin_Type_2BLQ,BsmtFin_Type_2GLQ,BsmtFin_Type_2LwQ,BsmtFin_Type_2No_Basement,BsmtFin_Type_2Rec,BsmtFin_Type_2Unf,BsmtFin_SF_2,Bsmt_Unf_SF,Total_Bsmt_SF,HeatingGasA,HeatingGasW,HeatingGrav,HeatingOthW,HeatingWall,Heating_QCFair,Heating_QCGood,Heating_QCPoor,Heating_QCTypical,Central_AirY,ElectricalFuseF,ElectricalFuseP,ElectricalMix,ElectricalSBrkr,ElectricalUnknown,First_Flr_SF,Second_Flr_SF,Low_Qual_Fin_SF,Gr_Liv_Area,Bsmt_Full_Bath,Bsmt_Half_Bath,Full_Bath,Half_Bath,Bedroom_AbvGr,Kitchen_AbvGr,Kitchen_QualFair,Kitchen_QualGood,Kitchen_QualPoor,Kitchen_QualTypical,TotRms_AbvGrd,FunctionalMaj2,FunctionalMin1,FunctionalMin2,FunctionalMod,FunctionalSal,FunctionalSev,FunctionalTyp,Fireplaces,Fireplace_QuFair,Fireplace_QuGood,Fireplace_QuNo_Fireplace,Fireplace_QuPoor,Fireplace_QuTypical,Garage_TypeBasment,Garage_TypeBuiltIn,Garage_TypeCarPort,Garage_TypeDetchd,Garage_TypeMore_Than_Two_Types,Garage_TypeNo_Garage,Garage_FinishNo_Garage,Garage_FinishRFn,Garage_FinishUnf,Garage_Cars,Garage_Area,Garage_QualFair,Garage_QualGood,Garage_QualNo_Garage,Garage_QualPoor,Garage_QualTypical,Garage_CondFair,Garage_CondGood,Garage_CondNo_Garage,Garage_CondPoor,Garage_CondTypical,Paved_DrivePartial_Pavement,Paved_DrivePaved,Wood_Deck_SF,Open_Porch_SF,Enclosed_Porch,Three_season_porch,Screen_Porch,Pool_Area,Pool_QCFair,Pool_QCGood,Pool_QCNo_Pool,Pool_QCTypical,FenceGood_Wood,FenceMinimum_Privacy,FenceMinimum_Wood_Wire,FenceNo_Fence,Misc_FeatureGar2,Misc_FeatureNone,Misc_FeatureOthr,Misc_FeatureShed,Misc_FeatureTenC,Misc_Val,Mo_Sold,Year_Sold,Sale_TypeCon,Sale_TypeConLD,Sale_TypeConLI,Sale_TypeConLw,Sale_TypeCWD,Sale_TypeNew,Sale_TypeOth,Sale_TypeVWD,Sale_TypeWD ,Sale_ConditionAdjLand,Sale_ConditionAlloca,Sale_ConditionFamily,Sale_ConditionNormal,Sale_ConditionPartial,Longitude,Latitude,Sale_Price
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,141,31770,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1960,1960,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,112,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,441,1080,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1656,0,0,1656,1,0,1,0,3,1,0,0,0,1,7,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,528,0,0,0,0,1,0,0,0,0,1,1,0,210,62,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,5,2010,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-93.619754,42.054035,215000
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,80,11622,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1961,1961,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,6,0,0,1,0,0,0,144,270,882,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,896,0,0,896,0,0,1,0,2,1,0,0,0,1,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,730,0,0,0,0,1,0,0,0,0,1,0,1,140,0,0,0,120,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,6,2010,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-93.619756,42.053014,105000
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,81,14267,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1958,1958,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,108,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,406,1329,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1329,0,0,1329,0,0,1,1,3,1,0,1,0,0,6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,312,0,0,0,0,1,0,0,0,0,1,0,1,393,36,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,12500,6,2010,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-93.6193873,42.052659,172000
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,93,11160,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1968,1968,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1045,2110,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2110,0,0,2110,1,0,2,1,3,1,0,0,0,0,8,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,522,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,4,2010,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-93.61732,42.051245,244000
5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,74,13830,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1997,1998,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,1,0,137,928,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,928,701,0,1629,0,0,2,1,3,1,0,0,0,1,6,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,482,0,0,0,0,1,0,0,0,0,1,0,1,212,34,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,3,2010,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-93.638933,42.060899,189900
6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,78,9978,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1998,1998,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,20,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,1,0,324,926,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,926,678,0,1604,0,0,2,1,3,1,0,1,0,0,7,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,470,0,0,0,0,1,0,0,0,0,1,0,1,360,36,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,6,2010,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-93.638925,42.060779,195500
7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,41,4920,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2001,2001,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,1,0,722,1338,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1338,0,0,1338,1,0,2,0,2,1,0,1,0,0,6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,582,0,0,0,0,1,0,0,0,0,1,0,1,0,0,170,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,4,2010,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-93.633792,42.062978,213500
8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,43,5005,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1992,1992,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1017,1280,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1280,0,0,1280,0,0,2,0,2,1,0,1,0,0,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,506,0,0,0,0,1,0,0,0,0,1,0,1,0,82,0,0,144,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,2010,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-93.633826,42.060728,191500
9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,39,5389,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1995,1996,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,1,0,415,1595,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1616,0,0,1616,1,0,2,0,2,1,0,1,0,0,5,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,608,0,0,0,0,1,0,0,0,0,1,0,1,237,152,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,3,2010,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-93.632852,42.06112,236500
10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,60,7500,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1999,1999,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,7,0,0,0,0,0,1,0,994,994,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1028,776,0,1804,0,0,2,1,3,1,0,1,0,0,7,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,442,0,0,0,0,1,0,0,0,0,1,0,1,140,60,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,6,2010,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-93.639068,42.059193,189000
