"","x"
"1",215000
"2",105000
"3",172000
"4",244000
"5",189900
"6",195500
"7",213500
"8",191500
"9",236500
"10",189000
"11",175900
"12",185000
"13",180400
"14",171500
"15",212000
"16",538000
"17",164000
"18",394432
"19",141000
"20",210000
"21",190000
"22",170000
"23",216000
"24",149000
"25",149900
"26",142000
"27",126000
"28",115000
"29",184000
"30",96000
"31",105500
"32",88000
"33",127500
"34",149900
"35",120000
"36",146000
"37",376162
"38",306000
"39",395192
"40",290941
"41",220000
"42",275000
"43",259000
"44",214000
"45",611657
"46",224000
"47",500000
"48",320000
"49",319900
"50",205000
"51",175500
"52",199500
"53",160000
"54",192000
"55",184500
"56",216500
"57",185088
"58",180000
"59",222500
"60",333168
"61",355000
"62",260400
"63",325000
"64",290000
"65",221000
"66",410000
"67",221500
"68",204500
"69",215200
"70",262500
"71",254900
"72",271500
"73",233000
"74",181000
"75",205000
"76",143000
"77",189000
"78",99500
"79",125000
"80",194500
"81",152000
"82",171000
"83",67500
"84",112000
"85",148000
"86",138500
"87",122000
"88",133000
"89",127000
"90",169000
"91",190000
"92",362500
"93",285000
"94",260000
"95",190000
"96",155000
"97",151000
"98",149500
"99",152000
"100",222000
"101",177500
"102",177000
"103",155000
"104",147110
"105",267916
"106",254000
"107",155000
"108",206000
"109",130500
"110",230000
"111",218500
"112",243500
"113",205000
"114",212500
"115",196500
"116",197500
"117",171000
"118",142250
"119",143000
"120",128950
"121",159000
"122",178900
"123",136300
"124",180500
"125",137500
"126",84900
"127",142125
"128",197600
"129",172500
"130",116500
"131",76500
"132",128000
"133",153000
"134",132000
"135",178000
"136",154300
"137",180000
"138",190000
"139",135000
"140",214000
"141",136000
"142",165500
"143",145000
"144",148000
"145",142000
"146",167500
"147",108538
"148",159500
"149",108000
"150",135000
"151",122500
"152",119000
"153",109000
"154",105000
"155",107500
"156",144900
"157",129000
"158",97500
"159",144000
"160",162000
"161",242000
"162",132000
"163",154000
"164",166000
"165",134800
"166",160000
"167",148000
"168",192000
"169",155000
"170",80400
"171",96500
"172",109500
"173",115000
"174",143000
"175",107400
"176",80000
"177",119000
"178",130000
"179",119000
"180",129000
"181",100000
"182",12789
"183",105900
"184",150000
"185",139000
"186",240000
"187",76500
"188",149700
"189",125500
"190",122500
"191",140750
"192",128500
"193",209500
"194",87000
"195",134000
"196",128000
"197",132000
"198",139900
"199",123900
"200",138400
"201",109500
"202",140000
"203",149500
"204",159900
"205",122000
"206",110000
"207",55000
"208",140000
"209",244400
"210",173000
"211",107500
"212",100000
"213",95000
"214",93369
"215",114900
"216",94000
"217",136000
"218",136500
"219",131500
"220",121500
"221",125000
"222",154000
"223",137900
"224",158000
"225",137250
"226",160250
"227",163000
"228",158900
"229",328000
"230",270000
"231",85000
"232",128000
"233",260000
"234",230000
"235",124000
"236",83000
"237",144500
"238",129000
"239",127000
"240",128000
"241",186000
"242",308030
"243",114000
"244",84900
"245",178000
"246",270000
"247",218000
"248",236000
"249",147000
"250",245350
"251",206000
"252",198900
"253",187000
"254",320000
"255",138500
"256",155000
"257",159000
"258",191000
"259",200500
"260",150000
"261",161750
"262",128200
"263",127000
"264",318000
"265",272000
"266",237000
"267",240000
"268",224900
"269",143750
"270",143000
"271",232000
"272",213000
"273",185500
"274",84900
"275",155891
"276",100000
"277",144000
"278",64000
"279",125200
"280",107000
"281",90000
"282",140000
"283",113000
"284",80000
"285",144500
"286",104000
"287",128000
"288",58500
"289",127000
"290",126000
"291",160000
"292",100000
"293",169000
"294",257500
"295",215000
"296",266500
"297",335000
"298",203135
"299",185000
"300",162500
"301",289000
"302",125500
"303",82000
"304",110000
"305",68400
"306",102776
"307",55993
"308",50138
"309",246000
"310",254900
"311",190000
"312",201000
"313",169900
"314",170000
"315",160000
"316",220000
"317",179781
"318",174000
"319",269500
"320",214900
"321",202900
"322",378500
"323",169000
"324",173500
"325",139000
"326",166500
"327",83500
"328",119500
"329",85000
"330",76000
"331",75500
"332",88250
"333",85500
"334",130000
"335",157900
"336",149900
"337",159000
"338",136000
"339",161000
"340",285000
"341",231000
"342",124500
"343",157000
"344",345000
"345",189500
"346",270000
"347",189000
"348",377500
"349",168500
"350",375000
"351",278000
"352",240000
"353",239500
"354",177500
"355",185000
"356",191000
"357",178000
"358",185000
"359",181316
"360",166000
"361",178000
"362",174000
"363",173000
"364",225000
"365",180500
"366",187500
"367",501837
"368",372500
"369",260000
"370",185000
"371",260000
"372",181000
"373",82500
"374",215000
"375",154000
"376",200000
"377",249000
"378",187500
"379",184000
"380",278000
"381",157000
"382",152000
"383",197500
"384",240900
"385",263435
"386",220000
"387",235000
"388",213000
"389",167900
"390",158000
"391",165000
"392",158000
"393",136000
"394",148500
"395",156000
"396",128000
"397",143000
"398",76500
"399",120500
"400",124500
"401",97000
"402",130000
"403",111000
"404",125000
"405",112000
"406",97000
"407",118000
"408",119500
"409",143750
"410",146000
"411",148500
"412",123000
"413",147000
"414",137900
"415",147000
"416",148500
"417",138000
"418",128500
"419",100000
"420",148800
"421",337500
"422",462000
"423",485000
"424",555000
"425",325000
"426",256300
"427",253293
"428",398800
"429",335000
"430",404000
"431",402861
"432",451950
"433",610000
"434",582933
"435",360000
"436",296000
"437",409900
"438",255500
"439",335000
"440",274900
"441",300000
"442",324000
"443",350000
"444",280000
"445",284000
"446",269500
"447",233170
"448",386250
"449",445000
"450",290000
"451",255900
"452",213000
"453",196000
"454",184500
"455",212500
"456",230000
"457",552000
"458",382500
"459",320000
"460",248500
"461",286500
"462",254000
"463",173000
"464",173000
"465",184000
"466",167800
"467",174000
"468",174000
"469",174000
"470",175900
"471",192500
"472",181000
"473",180000
"474",160200
"475",188500
"476",200000
"477",170000
"478",189500
"479",184100
"480",195500
"481",192000
"482",178000
"483",207500
"484",236000
"485",257500
"486",244000
"487",167000
"488",179000
"489",190000
"490",156000
"491",245000
"492",181000
"493",214000
"494",168000
"495",337000
"496",403000
"497",327000
"498",340000
"499",336000
"500",265000
"501",315000
"502",260000
"503",260000
"504",263550
"505",402000
"506",248000
"507",244600
"508",275000
"509",257500
"510",287090
"511",275500
"512",245000
"513",253000
"514",468000
"515",252678
"516",210000
"517",208300
"518",225000
"519",229456
"520",229800
"521",250000
"522",370878
"523",238500
"524",310000
"525",270000
"526",252000
"527",241000
"528",264500
"529",291000
"530",263000
"531",185000
"532",234500
"533",209000
"534",159000
"535",152000
"536",143500
"537",193000
"538",203000
"539",184900
"540",159000
"541",142000
"542",153000
"543",224243
"544",220000
"545",257000
"546",189000
"547",171500
"548",120000
"549",145000
"550",184000
"551",162000
"552",160000
"553",82000
"554",76000
"555",110000
"556",135000
"557",141000
"558",122000
"559",124100
"560",129000
"561",131400
"562",62383
"563",123000
"564",275000
"565",235000
"566",280750
"567",164500
"568",173733
"569",222000
"570",195000
"571",172500
"572",180000
"573",156000
"574",172500
"575",318750
"576",211500
"577",241600
"578",180500
"579",150000
"580",154000
"581",185000
"582",185750
"583",200000
"584",206000
"585",162000
"586",256900
"587",197900
"588",163000
"589",113000
"590",230000
"591",167900
"592",213250
"593",227000
"594",130000
"595",143000
"596",117500
"597",168500
"598",172500
"599",161500
"600",141500
"601",118000
"602",127500
"603",140000
"604",177625
"605",110000
"606",167000
"607",153000
"608",145100
"609",154000
"610",177500
"611",158000
"612",124500
"613",174500
"614",122000
"615",82500
"616",110000
"617",149500
"618",175000
"619",167000
"620",128900
"621",140000
"622",147000
"623",124000
"624",187500
"625",159000
"626",256000
"627",205000
"628",193500
"629",110000
"630",104900
"631",150000
"632",156500
"633",176000
"634",149500
"635",139000
"636",155000
"637",120000
"638",153000
"639",144000
"640",176000
"641",153000
"642",135000
"643",131000
"644",123000
"645",126000
"646",115000
"647",164900
"648",113000
"649",145500
"650",102900
"651",95000
"652",152500
"653",129900
"654",132000
"655",99900
"656",135000
"657",149000
"658",114000
"659",109500
"660",125000
"661",142900
"662",156500
"663",59000
"664",105000
"665",106000
"666",78500
"667",190000
"668",154000
"669",163000
"670",200000
"671",143500
"672",135000
"673",153000
"674",157500
"675",113500
"676",133000
"677",92900
"678",128500
"679",90000
"680",138000
"681",128000
"682",139000
"683",118900
"684",138000
"685",132500
"686",133500
"687",135000
"688",144750
"689",145000
"690",127000
"691",109500
"692",115000
"693",110000
"694",128900
"695",103500
"696",66500
"697",130000
"698",129000
"699",150000
"700",107500
"701",94550
"702",124500
"703",135000
"704",103000
"705",93000
"706",129500
"707",93000
"708",80000
"709",45000
"710",37900
"711",91300
"712",99500
"713",113000
"714",87500
"715",110000
"716",106000
"717",265979
"718",160000
"719",119000
"720",168000
"721",58500
"722",143000
"723",85000
"724",124900
"725",119000
"726",146500
"727",34900
"728",44000
"729",223500
"730",149000
"731",205000
"732",137000
"733",121000
"734",128000
"735",134900
"736",117000
"737",132500
"738",93000
"739",119000
"740",100000
"741",141500
"742",133000
"743",60000
"744",105000
"745",115000
"746",150000
"747",126500
"748",214500
"749",167500
"750",155000
"751",155000
"752",179900
"753",104000
"754",62500
"755",149000
"756",103000
"757",123000
"758",97500
"759",135000
"760",70000
"761",116000
"762",88750
"763",179000
"764",179000
"765",159900
"766",61000
"767",103600
"768",63000
"769",175000
"770",139000
"771",172500
"772",113500
"773",130000
"774",149900
"775",134900
"776",137000
"777",139000
"778",165000
"779",148000
"780",165000
"781",63900
"782",161500
"783",143000
"784",135000
"785",82500
"786",190000
"787",139600
"788",122000
"789",127500
"790",121500
"791",60000
"792",154400
"793",113000
"794",125000
"795",84000
"796",139500
"797",131000
"798",105000
"799",108000
"800",162000
"801",156500
"802",316600
"803",271900
"804",213000
"805",239900
"806",239500
"807",131000
"808",118964
"809",153337
"810",147983
"811",118858
"812",118858
"813",142953
"814",148325
"815",113722
"816",269500
"817",269500
"818",269500
"819",323262
"820",297000
"821",295493
"822",332000
"823",239900
"824",212000
"825",272500
"826",239000
"827",220000
"828",200000
"829",221800
"830",194500
"831",237000
"832",173000
"833",275000
"834",233500
"835",185000
"836",152000
"837",143000
"838",231500
"839",212000
"840",207000
"841",145000
"842",138000
"843",197900
"844",204000
"845",192000
"846",200000
"847",195000
"848",227000
"849",230000
"850",187100
"851",203000
"852",201000
"853",124000
"854",140000
"855",134900
"856",150500
"857",136500
"858",143500
"859",133500
"860",123000
"861",133900
"862",133000
"863",250000
"864",254750
"865",236500
"866",261500
"867",313000
"868",198500
"869",211000
"870",220000
"871",203000
"872",279500
"873",210000
"874",219500
"875",191000
"876",178000
"877",213000
"878",144000
"879",140000
"880",293200
"881",190000
"882",190000
"883",173500
"884",170000
"885",108000
"886",167000
"887",100000
"888",198500
"889",159500
"890",127000
"891",125000
"892",320000
"893",145500
"894",118000
"895",85000
"896",120000
"897",98000
"898",99900
"899",82000
"900",119900
"901",103500
"902",112000
"903",110000
"904",122000
"905",117000
"906",160000
"907",159434
"908",60000
"909",139500
"910",197000
"911",105000
"912",135000
"913",147500
"914",137450
"915",155000
"916",177000
